"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","Both","tile","27","m160cave.wav","NA","NA","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","Both","tile","27","m150tile.wav","None","718.771729153","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","NA","NA","NA","NA","NA","NA","NA","241123.951555","Mapping"
"Mixed","Both","tile","27","m150cave.wav","space","509.838973638","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","NA","NA","NA","NA","NA","NA","241885.179566","Mapping"
"Mixed","Both","tile","27","m150tile.wav","None","727.91799996","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","NA","NA","NA","NA","NA","242651.824292","Mapping"
"Mixed","Both","tile","27","m150jaw.wav","space","440.245632082","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","NA","NA","NA","NA","243418.755312","Mapping"
"Mixed","Both","tile","27","m150cad.wav","None","724.113005213","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","NA","NA","NA","244185.678603","Mapping"
"Mixed","Both","tile","27","m160romp.wav","None","722.998744808","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","245710.334393","NA","NA","244953.385029","Mapping"
"Mixed","Both","tile","27","m160tile.wav","None","722.21529996","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","245710.334393","246476.400346","NA","245720.83577","Mapping"
"Mixed","Both","tile","27","m150greet.wav","space","477.38475306","151","241110.333712","NA","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","245710.334393","246476.400346","247243.593854","246485.492512","Mapping"
"Mixed","Both","tile","27","m150romp.wav","None","722.758517601","151","241110.333712","248010.09636","NA","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","245710.334393","246476.400346","247243.593854","247253.520478","Mapping"
"Mixed","Both","tile","27","m160tile.wav","None","723.110356834","151","241110.333712","248010.09636","248777.050259","NA","NA","NA","NA","NA","241876.227456","242642.908355","243409.708595","244176.704851","244943.457478","245710.334393","246476.400346","247243.593854","248019.964241","Mapping"
