Condition,Talker,Target,Trial,current_stimulus,response_response,response_time_response,subject_nr,time_Audio1,time_Audio10,time_Audio11,time_Audio12,time_Audio13,time_Audio14,time_Audio15,time_Audio16,time_Audio2,time_Audio3,time_Audio4,time_Audio5,time_Audio6,time_Audio7,time_Audio8,time_Audio9,time_response,title
Mixed,Both,cave,22,m160dime.wav,NA,NA,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mapping
Mixed,Both,cave,22,m150bluff.wav,None,717.8931138,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,NA,NA,NA,NA,NA,NA,NA,206915.2891,Mapping
Mixed,Both,cave,22,m150greet.wav,None,722.5038284,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,NA,NA,NA,NA,NA,NA,207677.4006,Mapping
Mixed,Both,cave,22,m160bluff.wav,None,724.9629996,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,NA,NA,NA,NA,NA,208441.7589,Mapping
Mixed,Both,cave,22,m160cave.wav,None,723.6660142,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,NA,NA,NA,NA,209211.2652,Mapping
Mixed,Both,cave,22,m160bluff.wav,space,458.535572,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,NA,NA,NA,209975.9246,Mapping
Mixed,Both,cave,22,m160romp.wav,None,720.5776735,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,NA,NA,210744.6565,Mapping
Mixed,Both,cave,22,m150cave.wav,None,721.4050237,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,NA,211510.4332,Mapping
Mixed,Both,cave,22,m150tile.wav,space,453.5365351,271,206900.1389,NA,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,212276.8933,Mapping
Mixed,Both,cave,22,m160greet.wav,None,720.1405009,271,206900.1389,213800.0871,NA,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,213045.2742,Mapping
Mixed,Both,cave,22,m160cave.wav,None,721.8205533,271,206900.1389,213800.0871,214549.8801,NA,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,213810.1912,Mapping
Mixed,Both,cave,22,m150bluff.wav,space,475.1546104,271,206900.1389,213800.0871,214549.8801,215316.1909,NA,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,214559.1909,Mapping
Mixed,Both,cave,22,m160lash.wav,None,732.2267373,271,206900.1389,213800.0871,214549.8801,215316.1909,216082.7029,NA,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,215325.7988,Mapping
Mixed,Both,cave,22,m150cave.wav,None,733.2405192,271,206900.1389,213800.0871,214549.8801,215316.1909,216082.7029,216849.8112,NA,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,216091.6429,Mapping
Mixed,Both,cave,22,m150cling.wav,space,430.62673,271,206900.1389,213800.0871,214549.8801,215316.1909,216082.7029,216849.8112,217615.9627,NA,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,216859.7339,Mapping
Mixed,Both,cave,22,m150jaw.wav,None,721.7080141,271,206900.1389,213800.0871,214549.8801,215316.1909,216082.7029,216849.8112,217615.9627,218382.7159,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,217632.6102,Mapping
Mixed,Both,done,45,m150jolt.wav,None,729.056465,271,221550.0412,213800.0871,214549.8801,215316.1909,216082.7029,216849.8112,217615.9627,218382.7159,207666.9712,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,218391.9497,Mapping
Mixed,Both,done,45,m160dime.wav,None,722.6645988,271,221550.0412,213800.0871,214549.8801,215316.1909,216082.7029,216849.8112,217615.9627,218382.7159,222316.6769,208432.4376,209199.4721,209966.271,210733.7964,211500.0471,212266.5564,213033.3846,221560.0337,Mapping
