"Trial","Condition","Talker","Target","AuditoryProbe1","AuditoryProbe2","AuditoryProbe3","AuditoryProbe4","AuditoryProbe5","AuditoryProbe6","AuditoryProbe7","AuditoryProbe8","AuditoryProbe9","AuditoryProbe10","AuditoryProbe11","AuditoryProbe12","AuditoryProbe13","AuditoryProbe14","AuditoryProbe15","AuditoryProbe16"
1,"Mixed","Both","ball","m160bluff.wav","m160done.wav","m160ball.wav","m160jaw.wav","m150bluff.wav","m150ball.wav","m150cave.wav","m160gnash.wav","m160ball.wav","m150gnash.wav","m150jolt.wav","m160lash.wav","m150ball.wav","m160bluff.wav","m150jaw.wav","m150done.wav"
2,"Mixed","Both","ball","m160tile.wav","m150ball.wav","m150reek.wav","m160cad.wav","m160ball.wav","m150cad.wav","m160depth.wav","m160depth.wav","m150knife.wav","m150cling.wav","m150done.wav","m160ball.wav","m160cling.wav","m150reek.wav","m150ball.wav","m160tile.wav"
3,"Mixed","Both","ball","m150reek.wav","m150ball.wav","m160priest.wav","m160cave.wav","m150ball.wav","m150done.wav","m150knife.wav","m160ball.wav","m150done.wav","m150greet.wav","m150cave.wav","m160romp.wav","m160jolt.wav","m160cave.wav","m160ball.wav","m160jaw.wav"
4,"Mixed","Both","ball","m160cad.wav","m150ball.wav","m150jolt.wav","m150gnash.wav","m160cling.wav","m150ball.wav","m160park.wav","m150lash.wav","m160done.wav","m150gnash.wav","m160ball.wav","m160greet.wav","m160bluff.wav","m160ball.wav","m150cling.wav","m150priest.wav"
5,"Mixed","Both","ball","m160cad.wav","m150park.wav","m160romp.wav","m160reek.wav","m160ball.wav","m160dime.wav","m150reek.wav","m150ball.wav","m150cling.wav","m150knife.wav","m160depth.wav","m150ball.wav","m150priest.wav","m160ball.wav","m160priest.wav","m150cave.wav"
6,"Mixed","Both","ball","m160done.wav","m160ball.wav","m150knife.wav","m160depth.wav","m160ball.wav","m150knife.wav","m150knife.wav","m150gnash.wav","m150park.wav","m160knife.wav","m150ball.wav","m160lash.wav","m150done.wav","m150ball.wav","m160done.wav","m160dime.wav"
7,"Mixed","Both","ball","m160cad.wav","m150ball.wav","m150romp.wav","m160dime.wav","m150greet.wav","m150done.wav","m160ball.wav","m160jaw.wav","m150ball.wav","m150park.wav","m150gnash.wav","m160jaw.wav","m160ball.wav","m160park.wav","m160reek.wav","m150jolt.wav"
8,"Mixed","Both","ball","m160tile.wav","m160ball.wav","m160priest.wav","m150cad.wav","m150park.wav","m150dime.wav","m160gnash.wav","m150romp.wav","m150ball.wav","m150cling.wav","m150ball.wav","m150gnash.wav","m160ball.wav","m160bluff.wav","m160gnash.wav","m160cave.wav"
9,"Mixed","Both","ball","m150gnash.wav","m150ball.wav","m160gnash.wav","m160jaw.wav","m160ball.wav","m160reek.wav","m150jaw.wav","m150romp.wav","m150ball.wav","m160depth.wav","m150lash.wav","m150jolt.wav","m160bluff.wav","m160dime.wav","m160ball.wav","m150cad.wav"
10,"Mixed","Both","ball","m150cave.wav","m160tile.wav","m160reek.wav","m150ball.wav","m150depth.wav","m150depth.wav","m150ball.wav","m150romp.wav","m160gnash.wav","m160ball.wav","m150cave.wav","m150lash.wav","m160lash.wav","m160park.wav","m160ball.wav","m160tile.wav"
11,"Mixed","Both","ball","m160depth.wav","m150romp.wav","m150ball.wav","m160done.wav","m150ball.wav","m150done.wav","m150romp.wav","m150lash.wav","m160ball.wav","m160jaw.wav","m160priest.wav","m160done.wav","m160bluff.wav","m150lash.wav","m160ball.wav","m150cad.wav"
12,"Mixed","Both","ball","m160lash.wav","m160dime.wav","m160tile.wav","m160ball.wav","m160lash.wav","m150ball.wav","m150park.wav","m150ball.wav","m160lash.wav","m160jaw.wav","m150done.wav","m150romp.wav","m150lash.wav","m160ball.wav","m150greet.wav","m150jolt.wav"
13,"Mixed","Both","cave","m150tile.wav","m150cave.wav","m160ball.wav","m160reek.wav","m160ball.wav","m160cave.wav","m150done.wav","m160lash.wav","m150cave.wav","m150reek.wav","m160jaw.wav","m150done.wav","m160cave.wav","m160done.wav","m150cad.wav","m150lash.wav"
