Trial,Condition,Talker,Target,AuditoryProbe1,AuditoryProbe2,AuditoryProbe3,AuditoryProbe4,AuditoryProbe5,AuditoryProbe6,AuditoryProbe7,AuditoryProbe8,AuditoryProbe9,AuditoryProbe10,AuditoryProbe11,AuditoryProbe12,AuditoryProbe13,AuditoryProbe14,AuditoryProbe15,AuditoryProbe16
1,Mixed,Both,ball,m150romp.wav,m150reek.wav,m150romp.wav,m160jolt.wav,m160dime.wav,m150jaw.wav,m160knife.wav,m160cad.wav,m160ball.wav,m160dime.wav,m150ball.wav,m160tile.wav,m160ball.wav,m150dime.wav,m150ball.wav,m150cad.wav
2,Mixed,Both,ball,m160jaw.wav,m150ball.wav,m150cave.wav,m160ball.wav,m150dime.wav,m150cling.wav,m150jolt.wav,m160ball.wav,m160gnash.wav,m160tile.wav,m150ball.wav,m160romp.wav,m150greet.wav,m150cad.wav,m160lash.wav,m160priest.wav
3,Mixed,Both,ball,m150done.wav,m160jaw.wav,m160lash.wav,m160jolt.wav,m150romp.wav,m160cling.wav,m150ball.wav,m150cling.wav,m150ball.wav,m150jolt.wav,m150knife.wav,m160depth.wav,m160ball.wav,m160cad.wav,m160ball.wav,m150greet.wav
4,Mixed,Both,ball,m150depth.wav,m150tile.wav,m160ball.wav,m160reek.wav,m150ball.wav,m160jolt.wav,m150gnash.wav,m150tile.wav,m150priest.wav,m160romp.wav,m150ball.wav,m160jolt.wav,m160cling.wav,m160ball.wav,m160bluff.wav,m150reek.wav
5,Mixed,Both,ball,m160gnash.wav,m150done.wav,m150done.wav,m150lash.wav,m150priest.wav,m160ball.wav,m150park.wav,m160reek.wav,m150ball.wav,m150cave.wav,m160ball.wav,m160done.wav,m160greet.wav,m160greet.wav,m150ball.wav,m160cave.wav
6,Mixed,Both,ball,m150cave.wav,m150jolt.wav,m150cad.wav,m160ball.wav,m160knife.wav,m150cad.wav,m160priest.wav,m160ball.wav,m160romp.wav,m150ball.wav,m150priest.wav,m150greet.wav,m160dime.wav,m150ball.wav,m160bluff.wav,m160jolt.wav
7,Mixed,Both,ball,m150dime.wav,m160dime.wav,m150ball.wav,m150lash.wav,m150priest.wav,m160cling.wav,m160ball.wav,m150cling.wav,m150ball.wav,m160romp.wav,m160ball.wav,m160romp.wav,m150bluff.wav,m160priest.wav,m160bluff.wav,m150tile.wav
8,Mixed,Both,ball,m160bluff.wav,m160ball.wav,m160dime.wav,m150ball.wav,m160lash.wav,m160jolt.wav,m160ball.wav,m160greet.wav,m150dime.wav,m150park.wav,m160priest.wav,m150reek.wav,m150done.wav,m150ball.wav,m150cling.wav,m150greet.wav
9,Mixed,Both,ball,m160park.wav,m160ball.wav,m150greet.wav,m160depth.wav,m150ball.wav,m160cave.wav,m160park.wav,m160ball.wav,m150reek.wav,m150bluff.wav,m150dime.wav,m150tile.wav,m150ball.wav,m150bluff.wav,m160cad.wav,m160jolt.wav
10,Mixed,Both,ball,m160gnash.wav,m150greet.wav,m150ball.wav,m150reek.wav,m160knife.wav,m160tile.wav,m150greet.wav,m160tile.wav,m160ball.wav,m160priest.wav,m160jaw.wav,m150greet.wav,m150ball.wav,m150knife.wav,m160ball.wav,m150depth.wav
