Trial,Condition,Talker,Target,AuditoryProbe1,AuditoryProbe2,AuditoryProbe3,AuditoryProbe4,AuditoryProbe5,AuditoryProbe6,AuditoryProbe7,AuditoryProbe8,AuditoryProbe9,AuditoryProbe10,AuditoryProbe11,AuditoryProbe12,AuditoryProbe13,AuditoryProbe14,AuditoryProbe15,AuditoryProbe16
1,Mixed,Both,ball,,,,,,,,,,,,,,,,
2,Mixed,Both,ball,,,,,,,,,,,,,,,,
3,Mixed,Both,ball,,,,,,,,,,,,,,,,
4,Mixed,Both,ball,,,,,,,,,,,,,,,,
5,Mixed,Both,ball,,,,,,,,,,,,,,,,
6,Mixed,Both,ball,,,,,,,,,,,,,,,,
7,Mixed,Both,ball,,,,,,,,,,,,,,,,
8,Mixed,Both,ball,,,,,,,,,,,,,,,,
9,Mixed,Both,ball,,,,,,,,,,,,,,,,
10,Mixed,Both,ball,,,,,,,,,,,,,,,,
11,Mixed,Both,ball,,,,,,,,,,,,,,,,
12,Mixed,Both,ball,,,,,,,,,,,,,,,,
13,Mixed,Both,cave,,,,,,,,,,,,,,,,
14,Mixed,Both,cave,,,,,,,,,,,,,,,,
15,Mixed,Both,cave,,,,,,,,,,,,,,,,
16,Mixed,Both,cave,,,,,,,,,,,,,,,,
17,Mixed,Both,cave,,,,,,,,,,,,,,,,
18,Mixed,Both,cave,,,,,,,,,,,,,,,,
19,Mixed,Both,cave,,,,,,,,,,,,,,,,
20,Mixed,Both,cave,,,,,,,,,,,,,,,,
21,Mixed,Both,cave,,,,,,,,,,,,,,,,
22,Mixed,Both,cave,,,,,,,,,,,,,,,,
23,Mixed,Both,cave,,,,,,,,,,,,,,,,
24,Mixed,Both,cave,,,,,,,,,,,,,,,,
25,Mixed,Both,tile,,,,,,,,,,,,,,,,
26,Mixed,Both,tile,,,,,,,,,,,,,,,,
27,Mixed,Both,tile,,,,,,,,,,,,,,,,
28,Mixed,Both,tile,,,,,,,,,,,,,,,,
29,Mixed,Both,tile,,,,,,,,,,,,,,,,
30,Mixed,Both,tile,,,,,,,,,,,,,,,,
31,Mixed,Both,tile,,,,,,,,,,,,,,,,
32,Mixed,Both,tile,,,,,,,,,,,,,,,,
33,Mixed,Both,tile,,,,,,,,,,,,,,,,
34,Mixed,Both,tile,,,,,,,,,,,,,,,,
35,Mixed,Both,tile,,,,,,,,,,,,,,,,
36,Mixed,Both,tile,,,,,,,,,,,,,,,,
37,Mixed,Both,done,,,,,,,,,,,,,,,,
38,Mixed,Both,done,,,,,,,,,,,,,,,,
39,Mixed,Both,done,,,,,,,,,,,,,,,,
40,Mixed,Both,done,,,,,,,,,,,,,,,,
41,Mixed,Both,done,,,,,,,,,,,,,,,,
42,Mixed,Both,done,,,,,,,,,,,,,,,,
43,Mixed,Both,done,,,,,,,,,,,,,,,,
44,Mixed,Both,done,,,,,,,,,,,,,,,,
45,Mixed,Both,done,,,,,,,,,,,,,,,,
46,Mixed,Both,done,,,,,,,,,,,,,,,,
47,Mixed,Both,done,,,,,,,,,,,,,,,,
48,Mixed,Both,done,,,,,,,,,,,,,,,,
1,Blocked,m150,ball,,,,,,,,,,,,,,,,
2,Blocked,m150,ball,,,,,,,,,,,,,,,,
3,Blocked,m150,ball,,,,,,,,,,,,,,,,
4,Blocked,m150,ball,,,,,,,,,,,,,,,,
5,Blocked,m150,ball,,,,,,,,,,,,,,,,
6,Blocked,m150,ball,,,,,,,,,,,,,,,,
7,Blocked,m150,cave,,,,,,,,,,,,,,,,
8,Blocked,m150,cave,,,,,,,,,,,,,,,,
9,Blocked,m150,cave,,,,,,,,,,,,,,,,
10,Blocked,m150,cave,,,,,,,,,,,,,,,,
11,Blocked,m150,cave,,,,,,,,,,,,,,,,
12,Blocked,m150,cave,,,,,,,,,,,,,,,,
13,Blocked,m150,tile,,,,,,,,,,,,,,,,
14,Blocked,m150,tile,,,,,,,,,,,,,,,,
15,Blocked,m150,tile,,,,,,,,,,,,,,,,
16,Blocked,m150,tile,,,,,,,,,,,,,,,,
17,Blocked,m150,tile,,,,,,,,,,,,,,,,
18,Blocked,m150,tile,,,,,,,,,,,,,,,,
19,Blocked,m150,done,,,,,,,,,,,,,,,,
20,Blocked,m150,done,,,,,,,,,,,,,,,,
21,Blocked,m150,done,,,,,,,,,,,,,,,,
22,Blocked,m150,done,,,,,,,,,,,,,,,,
23,Blocked,m150,done,,,,,,,,,,,,,,,,
24,Blocked,m150,done,,,,,,,,,,,,,,,,
1,Blocked,m160,ball,,,,,,,,,,,,,,,,
2,Blocked,m160,ball,,,,,,,,,,,,,,,,
3,Blocked,m160,ball,,,,,,,,,,,,,,,,
4,Blocked,m160,ball,,,,,,,,,,,,,,,,
5,Blocked,m160,ball,,,,,,,,,,,,,,,,
6,Blocked,m160,ball,,,,,,,,,,,,,,,,
7,Blocked,m160,cave,,,,,,,,,,,,,,,,
8,Blocked,m160,cave,,,,,,,,,,,,,,,,
9,Blocked,m160,cave,,,,,,,,,,,,,,,,
10,Blocked,m160,cave,,,,,,,,,,,,,,,,
11,Blocked,m160,cave,,,,,,,,,,,,,,,,
12,Blocked,m160,cave,,,,,,,,,,,,,,,,
13,Blocked,m160,tile,,,,,,,,,,,,,,,,
14,Blocked,m160,tile,,,,,,,,,,,,,,,,
15,Blocked,m160,tile,,,,,,,,,,,,,,,,
16,Blocked,m160,tile,,,,,,,,,,,,,,,,
17,Blocked,m160,tile,,,,,,,,,,,,,,,,
18,Blocked,m160,tile,,,,,,,,,,,,,,,,
19,Blocked,m160,done,,,,,,,,,,,,,,,,
20,Blocked,m160,done,,,,,,,,,,,,,,,,
21,Blocked,m160,done,,,,,,,,,,,,,,,,
22,Blocked,m160,done,,,,,,,,,,,,,,,,
23,Blocked,m160,done,,,,,,,,,,,,,,,,
24,Blocked,m160,done,,,,,,,,,,,,,,,,
