Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1605401583682,15/11/2020 00:53:03,1605401583556,-5,14/11/2020 19:53:03,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1605401593514,15/11/2020 00:53:13,1605401593438,-5,14/11/2020 19:53:13,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,1,1,1,Expectations,advancementZone,continue_keyboard,8539.389999990817,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
3,1605401593670,15/11/2020 00:53:13,1605401593445,-5,14/11/2020 19:53:13,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,1,1,2,Monologue,Audio,content_web_audio,0.6099999882280827,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
4,1605401630942,15/11/2020 00:53:50,1605401630850,-5,14/11/2020 19:53:50,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,1,1,2,Monologue,Audio,content_web_audio,37386.830000032205,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
5,1605401670782,15/11/2020 00:54:30,1605401670701,-5,14/11/2020 19:54:30,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,1,1,3,Instructions,advancementZone,continue_keyboard,39838.365000032354,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
6,1605401670907,15/11/2020 00:54:30,1605401670740,-5,14/11/2020 19:54:30,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,2,1,1,Trial,Zone5,content_web_audio,16.29500003764406,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,blocked,m150
7,1605401672260,15/11/2020 00:54:32,1605401672167,-5,14/11/2020 19:54:32,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,2,1,1,Trial,Zone3,response_keyboard_single,1442.8349999943748,,,f,1,1,0,0,,,,,,Trial,1,f,m150_buy.mp3,,blocked,m150
8,1605401672770,15/11/2020 00:54:32,1605401672689,-5,14/11/2020 19:54:32,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,2,1,1,Trial,Zone1,timelimit_screen,2002.074999999997,,,,,0,1,0,,,1,,,Trial,1,f,m150_buy.mp3,,blocked,m150
9,1605401672895,15/11/2020 00:54:32,1605401672708,-5,14/11/2020 19:54:32,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,3,2,1,Trial,Zone5,content_web_audio,0.8200000156648457,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m150_pie.mp3,,blocked,m150
10,1605401673582,15/11/2020 00:54:33,1605401673497,-5,14/11/2020 19:54:33,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,3,2,1,Trial,Zone4,response_keyboard_single,789.4899999955669,,,j,1,1,0,0,,,,,,Trial,1,j,m150_pie.mp3,,blocked,m150
11,1605401674774,15/11/2020 00:54:34,1605401674687,-5,14/11/2020 19:54:34,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,3,2,1,Trial,Zone1,timelimit_screen,2000.0400000000081,,,,,0,1,0,,,1,,,Trial,1,j,m150_pie.mp3,,blocked,m150
12,1605401674899,15/11/2020 00:54:34,1605401674704,-5,14/11/2020 19:54:34,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,4,3,1,Trial,Zone5,content_web_audio,1.0149999870918691,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,blocked,m150
13,1605401675368,15/11/2020 00:54:35,1605401675267,-5,14/11/2020 19:54:35,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,4,3,1,Trial,Zone3,response_keyboard_single,564.1750000067987,,,f,1,1,0,0,,,,,,Trial,1,f,m150_buy.mp3,,blocked,m150
14,1605401676988,15/11/2020 00:54:36,1605401676690,-5,14/11/2020 19:54:36,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,4,3,1,Trial,Zone1,timelimit_screen,2000.0399999999936,,,,,0,1,0,,,1,,,Trial,1,f,m150_buy.mp3,,blocked,m150
