Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1603820867171,27/10/2020 17:47:47,1603820867009,-4,27/10/2020 13:47:47,24435,12,questionnaire-t1fh,,7475446,122404,2184188,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1057x560,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,One Talker,D,,No,BEGIN QUESTIONNAIRE,
2,1603820874355,27/10/2020 17:47:54,1603820874278,-4,27/10/2020 13:47:54,24435,12,questionnaire-t1fh,,7475446,122404,2184188,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1057x560,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,One Talker,D,,No,consent,Yes
3,1603820874511,27/10/2020 17:47:54,1603820874281,-4,27/10/2020 13:47:54,24435,12,questionnaire-t1fh,,7475446,122404,2184188,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1057x560,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,One Talker,D,,No,consent-quantised,1
4,1603820874511,27/10/2020 17:47:54,1603820874281,-4,27/10/2020 13:47:54,24435,12,questionnaire-t1fh,,7475446,122404,2184188,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1057x560,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,One Talker,D,,No,END QUESTIONNAIRE,7272
1,1603850269065,28/10/2020 01:57:49,1603850268842,-4,27/10/2020 21:57:48,24435,12,questionnaire-t1fh,,7481918,122200,2186491,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 86.0.4240.111,1440x900,1440x766,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,C,No,BEGIN QUESTIONNAIRE,
2,1603850318816,28/10/2020 01:58:38,1603850318686,-4,27/10/2020 21:58:38,24435,12,questionnaire-t1fh,,7481918,122200,2186491,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 86.0.4240.111,1440x900,1440x766,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,C,No,consent,Yes
3,1603850318957,28/10/2020 01:58:38,1603850318688,-4,27/10/2020 21:58:38,24435,12,questionnaire-t1fh,,7481918,122200,2186491,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 86.0.4240.111,1440x900,1440x766,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,C,No,consent-quantised,1
4,1603850318957,28/10/2020 01:58:38,1603850318688,-4,27/10/2020 21:58:38,24435,12,questionnaire-t1fh,,7481918,122200,2186491,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 86.0.4240.111,1440x900,1440x766,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,C,No,END QUESTIONNAIRE,49846
1,1604444569595,03/11/2020 23:02:49,1604444568035,-5,03/11/2020 18:02:48,24435,12,questionnaire-t1fh,,7587304,115651,2241041,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1451x961,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1604444575398,03/11/2020 23:02:55,1604444573922,-5,03/11/2020 18:02:53,24435,12,questionnaire-t1fh,,7587304,115651,2241041,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1434x961,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,consent,Yes
