Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1605311178975,13/11/2020 23:46:18,1605311179206,-5,13/11/2020 18:46:19,24435,13,questionnaire-t1fh,,7782301,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x754,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1605311186980,13/11/2020 23:46:26,1605311187234,-5,13/11/2020 18:46:27,24435,13,questionnaire-t1fh,,7782301,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,consent,Yes
3,1605311187465,13/11/2020 23:46:27,1605311187234,-5,13/11/2020 18:46:27,24435,13,questionnaire-t1fh,,7782301,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,consent-quantised,1
4,1605311187465,13/11/2020 23:46:27,1605311187235,-5,13/11/2020 18:46:27,24435,13,questionnaire-t1fh,,7782301,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,END QUESTIONNAIRE,8029
1,1605818419631,19/11/2020 20:40:19,1605818419500,-5,19/11/2020 15:40:19,24435,13,questionnaire-t1fh,,7958934,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1605818442514,19/11/2020 20:40:42,1605818442446,-5,19/11/2020 15:40:42,24435,13,questionnaire-t1fh,,7958934,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,B,No,consent,Yes
3,1605818442655,19/11/2020 20:40:42,1605818442449,-5,19/11/2020 15:40:42,24435,13,questionnaire-t1fh,,7958934,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,B,No,consent-quantised,1
4,1605818442655,19/11/2020 20:40:42,1605818442449,-5,19/11/2020 15:40:42,24435,13,questionnaire-t1fh,,7958934,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Information-Sheet,2,Yes,Fail,Pass,Pass,,Two Talker,,B,No,END QUESTIONNAIRE,22949
1,1605888287197,20/11/2020 16:04:47,1605888287038,-5,20/11/2020 11:04:47,24435,13,questionnaire-t1fh,,7995620,118372,2375796,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1440x900,1440x837,Pass,Information-Sheet,2,Yes,Pass,Pass,,,One Talker,B,,No,BEGIN QUESTIONNAIRE,
2,1605888567349,20/11/2020 16:09:27,1605888567267,-5,20/11/2020 11:09:27,24435,13,questionnaire-t1fh,,7995620,118372,2375796,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Safari 13.1,1440x900,1440x837,Pass,Information-Sheet,2,Yes,Pass,Pass,,,One Talker,B,,No,consent,Yes
