Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1600740389892,22/09/2020 02:06:29,1600740389779,-4,21/09/2020 22:06:29,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1600740403022,22/09/2020 02:06:43,1600740402970,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-accent-1,New England
3,1600740403178,22/09/2020 02:06:43,1600740402971,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-accent-text,
4,1600740403178,22/09/2020 02:06:43,1600740402971,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-sex-1,Female
5,1600740403178,22/09/2020 02:06:43,1600740402972,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-ethnicity-2,Not Hispanic or Latino
6,1600740403178,22/09/2020 02:06:43,1600740402972,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-race-5,White
7,1600740403178,22/09/2020 02:06:43,1600740402972,-4,21/09/2020 22:06:42,24435,9,questionnaire-d7os,,6885275,118174,1987350,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.102,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,END QUESTIONNAIRE,13193
1,1600910870042,24/09/2020 01:27:50,1600910922903,-4,23/09/2020 21:28:42,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,BEGIN QUESTIONNAIRE,
2,1600910891244,24/09/2020 01:28:11,1600910944138,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,response-accent-1,New England
3,1600910891369,24/09/2020 01:28:11,1600910944140,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,response-accent-text,
4,1600910891369,24/09/2020 01:28:11,1600910944140,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,response-sex-1,Female
5,1600910891369,24/09/2020 01:28:11,1600910944140,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,response-ethnicity-2,Not Hispanic or Latino
6,1600910891369,24/09/2020 01:28:11,1600910944140,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,response-race-5,White
7,1600910891369,24/09/2020 01:28:11,1600910944141,-4,23/09/2020 21:29:04,24435,9,questionnaire-d7os,,6920099,121009,1998094,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,A,No,END QUESTIONNAIRE,21238
1,1601064854635,25/09/2020 20:14:14,1601064854515,-4,25/09/2020 16:14:14,24435,9,questionnaire-d7os,,6968681,117301,2009452,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1346x663,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,D,No,BEGIN QUESTIONNAIRE,
2,1601064868322,25/09/2020 20:14:28,1601064867801,-4,25/09/2020 16:14:27,24435,9,questionnaire-d7os,,6968681,117301,2009452,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1331x663,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,D,No,response-accent-1,New England
3,1601064868650,25/09/2020 20:14:28,1601064867804,-4,25/09/2020 16:14:27,24435,9,questionnaire-d7os,,6968681,117301,2009452,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1331x663,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,D,No,response-accent-text,
4,1601064868650,25/09/2020 20:14:28,1601064867804,-4,25/09/2020 16:14:27,24435,9,questionnaire-d7os,,6968681,117301,2009452,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1331x663,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,D,No,response-sex-1,Female
